date,cluster_id,demand,temperature,supply
2021-01-16,0_0,457.0,13.9,451.0
2021-01-16,0_1,20.0,13.9,25.0
2021-01-16,0_10,285.0,13.9,288.0
2021-01-16,0_11,252.0,13.9,254.0
2021-01-16,0_12,39.0,13.9,42.0
2021-01-16,0_13,221.0,13.9,196.0
2021-01-16,0_14,30.0,13.9,28.0
2021-01-16,0_15,244.0,13.9,243.0
2021-01-16,0_16,347.0,13.9,315.0
2021-01-16,0_17,280.0,13.9,274.0
2021-01-16,0_18,79.0,13.9,86.0
2021-01-16,0_2,553.0,13.9,569.0
2021-01-16,0_3,20.0,13.9,23.0
2021-01-16,0_4,94.0,13.9,114.0
2021-01-16,0_5,164.0,13.9,169.0
2021-01-16,0_6,485.0,13.9,477.0
2021-01-16,0_7,219.0,13.9,210.0
2021-01-16,0_8,132.0,13.9,156.0
2021-01-16,0_9,42.0,13.9,43.0
2021-01-16,1_0,34.0,13.9,28.0
2021-01-16,1_1,127.0,13.9,132.0
2021-01-16,1_2,34.0,13.9,35.0
2021-01-16,1_3,2.0,13.9,10.0
2021-01-16,1_4,52.0,13.9,50.0
2021-01-16,1_5,40.0,13.9,38.0
2021-01-16,1_6,33.0,13.9,29.0
2021-01-16,2_0,46.0,13.9,45.0
2021-01-16,2_1,113.0,13.9,107.0
2021-01-16,2_2,52.0,13.9,55.0
2021-01-16,2_3,199.0,13.9,203.0
2021-01-17,0_0,342.0,13.4,348.0
2021-01-17,0_1,26.0,13.4,23.0
2021-01-17,0_10,287.0,13.4,281.0
2021-01-17,0_11,203.0,13.4,203.0
2021-01-17,0_12,40.0,13.4,46.0
2021-01-17,0_13,222.0,13.4,211.0
2021-01-17,0_14,39.0,13.4,33.0
2021-01-17,0_15,302.0,13.4,295.0
2021-01-17,0_16,441.0,13.4,396.0
2021-01-17,0_17,339.0,13.4,355.0
2021-01-17,0_18,103.0,13.4,94.0
2021-01-17,0_2,620.0,13.4,619.0
2021-01-17,0_3,16.0,13.4,20.0
2021-01-17,0_4,148.0,13.4,155.0
2021-01-17,0_5,180.0,13.4,205.0
2021-01-17,0_6,498.0,13.4,484.0
2021-01-17,0_7,198.0,13.4,196.0
2021-01-17,0_8,222.0,13.4,249.0
2021-01-17,0_9,36.0,13.4,49.0
2021-01-17,1_0,32.0,13.4,25.0
2021-01-17,1_1,101.0,13.4,108.0
2021-01-17,1_2,27.0,13.4,29.0
2021-01-17,1_4,57.0,13.4,52.0
2021-01-17,1_5,44.0,13.4,48.0
2021-01-17,1_6,30.0,13.4,29.0
2021-01-17,2_0,34.0,13.4,44.0
2021-01-17,2_1,96.0,13.4,97.0
2021-01-17,2_2,58.0,13.4,50.0
2021-01-17,2_3,200.0,13.4,197.0
2021-01-18,0_0,424.0,15.8,424.0
2021-01-18,0_1,17.0,15.8,20.0
2021-01-18,0_10,318.0,15.8,325.0
2021-01-18,0_11,228.0,15.8,229.0
2021-01-18,0_12,41.0,15.8,39.0
2021-01-18,0_13,238.0,15.8,243.0
2021-01-18,0_14,31.0,15.8,32.0
2021-01-18,0_15,281.0,15.8,267.0
