station_id,lat,lng,region,sub_region_cluster,cluster_id
SF-H27-1,37.78482342466366,-122.40087250945315,0,0,0_0
SF-H28,37.783969124422676,-122.39872450420009,0,0,0_0
SF-H28-2,37.782550920747326,-122.40022929249336,0,0,0_0
SF-H29,37.78510010303457,-122.39629984499165,0,0,0_0
SF-H30,37.78306302741429,-122.38798395581384,0,0,0_0
SF-H30-2,37.783807232302536,-122.39025564949247,0,0,0_0
SF-I16,37.77926928953062,-122.44735530610988,0,16,0_16
SF-I19,37.77917194460981,-122.43697623611692,0,16,0_16
SF-I20,37.78057861153032,-122.43190352783131,0,16,0_16
SF-I21,37.77805422761985,-122.42645437482534,0,2,0_2
SF-I22,37.78080730605433,-122.42194267775209,0,6,0_6
SF-I23-1,37.7814990794044,-122.41850189132167,0,6,0_6
SF-I23-2,37.77881671983973,-122.41816733230877,0,6,0_6
SF-I24,37.778736187007944,-122.41592230585006,0,6,0_6
SF-I25,37.78111103655074,-122.41175974503712,0,6,0_6
SF-I26,37.78132858053452,-122.40483213621151,0,6,0_6
SF-I26-,37.78023971901865,-122.40663305000444,0,6,0_6
SF-I27,37.78085497069163,-122.4026085918281,0,0,0_0
SF-I28,37.7811340077189,-122.39997260761052,0,0,0_0
SF-I29-2,37.780846502601285,-122.39490092715262,0,0,0_0
SF-I30,37.7804845566323,-122.39033361836103,0,0,0_0
SF-I30-2,37.78225672690933,-122.39166985049073,0,0,0_0
SF-I30-3,37.782293488346845,-122.39309554290652,0,0,0_0
SF-J1,37.77289416036339,-122.5089808635574,0,8,0_8
SF-J10,37.77349372169079,-122.47142758693128,0,5,0_5
SF-J12,37.775135690648526,-122.46496738493308,0,15,0_15
SF-J13,37.775337508980066,-122.45810543644683,0,15,0_15
SF-J14,37.77762954963622,-122.4546002992945,0,4,0_4
SF-J15,37.776205875395775,-122.4531210553724,0,4,0_4
SF-J16,37.774830223154304,-122.44661113567692,0,16,0_16
SF-J17,37.77737891819879,-122.44198248383466,0,16,0_16
SF-J18,37.77596087596904,-122.43767366300946,0,16,0_16
SF-J19,37.77770603389419,-122.43318998986804,0,16,0_16
SF-J20,37.77720005455068,-122.42960884186513,0,16,0_16
SF-J21,37.7762654987806,-122.42622083827177,0,2,0_2
SF-J21-2,37.776795020850436,-122.42491594363126,0,2,0_2
SF-J22-1,37.77417382614428,-122.42383972033309,0,2,0_2
SF-J22-2,37.77788438856055,-122.42288656364866,0,6,0_6
SF-J23-1,37.7768499572361,-122.41739822878348,0,6,0_6
SF-J23-2,37.774751091887794,-122.4191304065472,0,6,0_6
SF-J24,37.77442393111141,-122.40947348443069,0,6,0_6
SF-J25,37.776655409253216,-122.41121206873294,0,6,0_6
SF-J26,37.77769692635997,-122.40629678262201,0,6,0_6
SF-J26-2,37.77650763151005,-122.40809488194724,0,6,0_6
SF-J27,37.7758239266255,-122.40269831272417,0,10,0_10
SF-J28-2,37.77796775851888,-122.39695483649395,0,10,0_10
SF-J29,37.776661068603055,-122.39531662453581,0,10,0_10
SF-J29-1,37.778730211878226,-122.39251419966088,0,10,0_10
SF-J29-3,37.776322833045114,-122.39447321857364,0,10,0_10
SF-J3,37.775459298278115,-122.49836792792651,0,18,0_18
SF-J5,37.77568506108464,-122.49402711445309,0,18,0_18
SF-K15-,37.77196436765589,-122.45369132324727,0,15,0_15
